(1, 341.62188478445927)
(2, 931.3898865022185)
(3, 982.8325665695214)
(4, 512.4166243127772)
(5, 675.4902895572823)
(6, 15.434027525719895)
(7, 1039.5790291825158)
(8, 196.07901724199306)
(9, 759.189195676661)
(10, 263.6823080700692)
(11, 413.76276205597316)
(12, 810.1846230140077)
(13, 946.3909945529518)
(14, 946.2507586115242)
(15, 1175.0768449812263)
(16, 917.3865445360669)
(17, 507.8514470320281)
(18, 15.018801353933313)
(19, 141.78588287374646)
(20, 190.80665003147197)
(21, 280.81943434653965)
(22, 574.0535952053608)
(23, 862.930997414818)
(24, 1081.5263750998508)
(25, 1404.491065548314)
(26, 432.40440964062674)
(27, 784.6992622378269)
(28, 490.82125266554)
(29, 590.9588707742337)
(30, 718.4553033290089)
(31, 1009.8213918935211)
(32, 89.68113845938032)
(33, 862.4736389364642)
(34, 105.199770884177)
(35, 1360.4477920040379)
(36, 235.17329354831816)
(37, 287.6754224790694)
(38, 117.27523498728091)
(39, 1238.5141851167311)
(40, 172.42187072118784)
